district_id,district,region,urban_rural_class,lat,lon,total_pop,poverty_incidence,poverty_intensity,illiteracy_rate,literacy_rate,uninsured_rate,non_employment_share,dependency_ratio,urban,geojson_district,gap_merged_for_map
1,Asunafo North Municipal,AHAFO,Municipal,6.81509969999999,-2.67736640122449,151258,26.1,42.0,26.32,73.68,14.24,46.82,65.43,1,ASUNAFO NORTH MUNICIPAL,0
2,Asunafo South,AHAFO,District,6.56280465,-2.53279356335542,91693,26.2,42.7,28.89,71.11,47.5,43.51,69.05,0,ASUNAFO SOUTH,0
3,Asutifi North,AHAFO,District,7.07651835,-2.52531850396715,73556,26.6,43.1,25.55,74.45,17.3,48.59,64.62,0,ASUTIFI NORTH,0
4,Asutifi South,AHAFO,District,6.84924284999999,-2.46125343688365,67334,23.2,42.4,29.26,70.74,21.67,49.12,68.79,0,ASUTIFI SOUTH,0
5,Tano North Municipal,AHAFO,Municipal,7.19329065,-2.2080833699397,93838,21.6,42.3,23.45,76.55,14.1,48.5,65.99,1,TANO NORTH MUNICIPAL,0
6,Tano South Municipal,AHAFO,Municipal,7.16093674999999,-1.99681708617696,86989,23.7,42.6,27.91,72.09,20.45,47.42,69.9,1,TANO SOUTH MUNICIPAL,0
7,Adansi Asokwa,ASHANTI,District,6.2467263,-1.50841,71844,32.4,43.3,28.26,71.74,50.15,48.11,71.06,0,ADANSI ASOKWA,0
8,Adansi North,ASHANTI,District,6.3006124,-1.5897139446089,54155,19.7,42.8,18.16,81.84,27.63,51.52,61.73,0,ADANSI NORTH,0
9,Adansi South,ASHANTI,District,6.00427495,-1.39314032189093,85200,35.0,43.2,27.07,72.93,46.09,45.03,70.41,0,ADANSI SOUTH,0
10,Afigya Kwabre North,ASHANTI,District,7.03891495,-1.62667127242319,73330,25.2,43.7,23.98,76.02,30.12,51.79,77.32,0,AFIGYA KWABRE NORTH,0
11,Afigya Kwabre South,ASHANTI,District,6.83998064999999,-1.60957900170106,234667,13.0,43.3,13.42,86.58,24.97,49.3,66.24,0,AFIGYA KWABRE SOUTH,0
12,Ahafo Ano North Municipal,ASHANTI,Municipal,6.90966445,-2.23301229669742,92742,26.5,41.2,24.92,75.08,30.64,43.12,69.12,1,AHAFO ANO NORTH,0
13,Ahafo Ano South East,ASHANTI,District,6.94633355,-1.90095355028736,63468,31.8,42.5,32.24,67.76,32.34,46.29,79.4,0,AHAFO ANO SOUTH EAST,0
14,Ahafo Ano South West,ASHANTI,District,6.8289788,-2.00038660056909,65770,31.9,41.8,31.43,68.57,37.52,44.39,72.43,0,AHAFO ANO SOUTH WEST,0
15,Akrofuom,ASHANTI,District,6.03262245,-1.67136425707588,49291,37.0,44.2,30.03,69.97,42.84,49.31,65.86,0,ADANSI AKROFUOM,0
16,Amansie Central,ASHANTI,District,6.20744165,-1.82814118592735,93052,28.6,43.3,29.44,70.56,33.99,44.63,65.97,0,AMANSIE CENTRAL,0
17,Amansie South,ASHANTI,District,6.30802585,-2.01186652006877,113155,30.3,44.4,30.17,69.83,48.14,45.61,57.16,0,AMANSIE SOUTH,0
18,Amansie West,ASHANTI,District,6.43975084999999,-1.85237045719587,112627,31.0,44.7,27.0,73.0,43.02,52.21,67.64,0,AMANSIE WEST,0
19,Asante Akim Central Municipal,ASHANTI,Municipal,6.56465915,-1.25347851347396,91673,16.9,42.6,17.22,82.78,19.68,51.13,63.0,1,ASANTE AKIM CENTRAL MUNICIPAL,0
20,Asante Akim North Municipal,ASHANTI,Municipal,6.906722,-0.958978,85202,26.0,42.1,23.85,76.15,34.0,47.13,63.22,1,ASANTE AKIM NORTH,0
21,Asante Akim South Municipal,ASHANTI,Municipal,6.46141735,-1.11533920112058,123633,24.6,42.2,25.62,74.38,32.61,43.84,75.84,1,ASANTE AKIM SOUTH,0
22,Asokore Mampong Municipal,ASHANTI,Municipal,6.7077852,-1.5665013,191402,11.3,42.7,19.35,80.65,20.28,48.52,58.22,1,ASOKORE MAMPONG MUNICIPAL,0
23,Asokwa Municipal,ASHANTI,Municipal,6.6739843,-1.6026178,125642,6.3,41.4,10.73,89.27,14.25,44.07,54.38,1,ASOKWA  MUNICIPAL,0
24,Atwima Kwanwoma,ASHANTI,District,6.65,-1.73333,234846,13.8,43.3,13.57,86.43,26.15,49.99,65.31,0,ATWIMA KWANWOMA,0
25,Atwima Mponua,ASHANTI,District,6.5558963,-2.17659077213842,155254,25.1,42.4,29.22,70.78,24.13,43.5,71.85,0,ATWIMA MPONUA,0
26,Atwima Nwabiagya North,ASHANTI,District,6.87764335,-1.74489585317473,155025,13.5,43.1,15.74,84.26,21.41,50.93,65.37,0,ATWIMA NWABIAGYA NORTH,0
27,Atwima Nwabiagya South Municipal,ASHANTI,Municipal,7.0689359,-2.0226618,161893,12.5,43.0,13.83,86.17,23.44,48.4,62.62,1,ATWIMA NWABIAGYA SOUTH,0
28,Bekwai Municipal,ASHANTI,Municipal,6.43631235,-1.59282285301503,137967,19.4,43.6,17.87,82.13,27.7,51.03,68.05,1,BEKWAI MUNICIPAL,0
29,Bosome Freho,ASHANTI,District,6.3681227,-1.36632312680072,62259,31.3,41.0,28.55,71.45,49.05,40.5,77.42,0,BOSOME FREHO,0
30,Bosomtwi,ASHANTI,District,6.1777503,-0.1969922,165180,16.1,43.8,13.87,86.13,28.31,50.09,67.48,0,BOSOMTWE,0
31,Ejisu Municipal,ASHANTI,Municipal,6.7139918,-1.4665782,180723,13.5,43.6,14.91,85.09,21.69,50.56,63.19,1,EJISU MUNICIPAL,0
32,Ejura Sekyedumase Municipal,ASHANTI,Municipal,7.38567515,-1.39945747215309,137672,25.0,42.2,35.88,64.12,33.58,46.85,77.37,1,EJURA-SEKYEDUMASE,0
33,Juaben Municipal,ASHANTI,Municipal,6.0721368,-0.260652306105858,63929,20.9,43.1,21.97,78.03,30.42,47.11,73.73,1,JUABEN MUNICIPAL,0
34,"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",ASHANTI,Metropolitan,6.698152,-1.621229,443945,8.9,42.3,10.82,89.18,22.55,48.25,48.08,1,KUMASI METROPOLITAN,0
35,Kwabre East,ASHANTI,Municipal,6.7897864,-1.53792852576917,296814,10.6,43.3,12.89,87.11,24.41,47.25,65.34,1,KWABRE EAST,0
36,Kwadaso Municipal,ASHANTI,Municipal,6.68059249999999,-1.67467000057054,154526,9.5,42.4,8.43,91.57,21.67,51.14,49.73,1,KWADASO MUNICIPAL,0
37,Mampong Municipal,ASHANTI,Municipal,7.056139,-1.40425,116632,22.5,42.6,20.67,79.33,29.79,53.56,64.19,1,MAMPONG MUNICIPAL,0
38,Obuasi East,ASHANTI,Municipal,6.1796409,-1.60356394182495,92401,13.1,42.7,15.48,84.52,17.4,51.29,59.83,1,OBUASI EAST,0
39,Obuasi Municipal,ASHANTI,Municipal,6.211542,-1.6894045,104297,11.1,42.8,12.32,87.68,19.66,49.09,54.28,1,OBUASI MUNICIPAL,0
40,Offinso Municipal,ASHANTI,Municipal,7.05794129999999,-1.73462655987467,137272,23.5,42.8,24.85,75.15,30.81,51.11,70.72,1,OFFINSO MUNICIPAL,0
41,Offinso North,ASHANTI,District,7.27974815,-1.79832745610104,83440,34.3,41.5,37.39,62.61,33.47,43.79,77.88,0,OFFINSO NORTH,0
42,Oforikrom Municipal,ASHANTI,Municipal,6.672717,-1.5504236985326,213126,10.0,42.8,10.1,89.9,23.01,59.81,39.31,1,OFORIKROM MUNICIPAL,0
43,Old Tafo Municipal,ASHANTI,Municipal,6.74083555,-1.60465968075918,114368,9.2,42.9,11.73,88.27,24.65,45.31,55.64,1,OLD TAFO MUNICIPAL,0
44,Sekyere Afram Plains,ASHANTI,District,7.20286155,-0.592081996515861,33226,50.5,40.8,51.7,48.3,63.4,42.38,83.22,0,SEKYERE AFRAM PLAINS NORTH,0
45,Sekyere Central,ASHANTI,District,7.21625465,-1.09955606489201,73228,39.8,42.4,33.02,66.98,52.34,47.72,77.13,0,SEKYERE CENTRAL,0
46,Sekyere East,ASHANTI,District,6.77947295,-1.29935419961981,74789,17.3,42.5,17.21,82.79,23.59,50.74,68.88,0,SEKYERE EAST,0
47,Sekyere Kumawu,ASHANTI,District,6.9098849,-1.23942940155571,64396,23.9,42.9,20.33,79.67,35.78,50.45,76.25,0,SEKYERE KUMAWU,0
48,Sekyere South,ASHANTI,District,6.99532965,-1.50292100938884,120076,22.6,42.8,17.74,82.26,26.93,52.82,68.71,0,SEKYERE SOUTH,0
49,Suame Municipal,ASHANTI,Municipal,6.738487,-1.62476687694823,136290,8.7,42.7,10.34,89.66,23.69,43.49,55.83,1,SUAME MUNICIPAL,0
50,Banda,BONO,District,8.1645269,-2.3569966,28179,35.7,43.7,41.63,58.37,23.59,56.41,71.57,0,BANDA,0
51,Berekum East Municipal,BONO,Municipal,7.4848835,-2.56459096524003,106252,12.6,41.7,14.74,85.26,11.53,51.35,57.89,1,BEREKUM EAST MUNICIPAL,0
52,Berekum West,BONO,District,7.47199419999999,-2.71078914019081,49464,14.8,41.6,22.9,77.1,12.49,50.65,64.76,0,BEREKUM WEST,0
53,Dormaa Central Municipal,BONO,Municipal,7.23948645,-2.85657511014467,112702,15.8,41.7,22.18,77.82,17.34,47.13,64.19,1,DORMAA MUNICIPAL,0
54,Dormaa East,BONO,District,7.26432845,-2.64146295349265,67899,19.5,41.7,24.68,75.32,13.64,49.66,65.56,0,DORMAA EAST,0
55,Dormaa West,BONO,District,6.97538415,-2.9463116043167,47913,23.2,40.8,30.1,69.9,20.34,41.23,67.74,0,DORMAA WEST,0
56,Jaman North,BONO,District,7.9132614,-2.69723280400663,116529,14.5,42.4,26.41,73.59,7.06,51.83,67.08,0,JAMAN NORTH,0
57,Jaman South,BONO,Municipal,7.62036559999999,-2.7963718064665,109768,15.6,42.1,26.35,73.65,8.82,49.44,67.67,1,JAMAN SOUTH MUNICIPAL,0
58,Sunyani Municipal,BONO,Municipal,7.3384389,-2.3309226,193595,10.9,41.5,14.47,85.53,11.18,51.26,53.37,1,SUNYANI MUNICIPAL,0
59,Sunyani West Municipal,BONO,Municipal,7.35779433737633,-2.34687996021684,136022,17.6,43.1,20.83,79.17,15.61,55.78,56.77,1,SUNYANI WEST,0
60,Tain,BONO,District,7.9614185,-2.1422727,115568,21.5,41.9,36.55,63.45,19.06,46.67,70.04,0,TAIN,0
61,Wenchi Municipal,BONO,Municipal,7.80281055,-2.08141333112632,124758,23.6,42.2,33.76,66.24,20.26,50.64,72.16,1,WENCHI MUNICIPAL,0
62,Atebubu Amantin Municipal,BONO EAST,Municipal,7.72813859999999,-1.09550967027384,144947,28.8,41.5,40.99,59.01,25.49,44.98,76.73,1,ATEBUBU AMANTIN,0
