district_id,district,region,urban_rural_class,lat,lon,total_pop,poverty_incidence,poverty_intensity,illiteracy_rate,literacy_rate,uninsured_rate,non_employment_share,dependency_ratio,admin_urban_class,geojson_district,gap_merged_for_map,improved_water_pct_rgnbc,surface_water_pct_rgnbc,water_over30min_pct_rgnbc,improved_sanitation_pct_rgnbc,open_defecation_pct_rgnbc,female_literacy_pct_rgnbc,male_literacy_pct_rgnbc,area_km2,pop_density,density_approx_flag,urbanicity_z,san_deficit,water_deficit,nwpri_equal,nwpri_pca,nwpri_pc1_var,genuine_dep_pca,oncho_highrisk,trachoma_hist_endemic,ntd_pov_belt,ntd_anchor_resolution,ntd_anchor_confidence,buruli_focus
1,Asunafo North Municipal,AHAFO,Municipal,6.81509969999999,-2.67736640122449,151258,26.1,42.0,26.32,73.68,14.24,46.82,65.43,1,ASUNAFO NORTH MUNICIPAL,0,81.6,11.6,8.6,49.8,11.8,48.3,70.1,1441.0388196231102,105.0,0,-0.447,50.2,18.40000000000001,-0.154,0.117,0.605,-0.394,1,0,1,region-broadcast,moderate (literature-ecological),0
2,Asunafo South,AHAFO,District,6.56280465,-2.53279356335542,91693,26.2,42.7,28.89,71.11,47.5,43.51,69.05,0,ASUNAFO SOUTH,0,81.6,11.6,8.6,49.8,11.8,48.3,70.1,941.86053931955,97.4,0,-0.494,50.2,18.40000000000001,0.339,0.122,0.605,0.198,1,0,1,region-broadcast,moderate (literature-ecological),0
3,Asutifi North,AHAFO,District,7.07651835,-2.52531850396715,73556,26.6,43.1,25.55,74.45,17.3,48.59,64.62,0,ASUTIFI NORTH,0,81.6,11.6,8.6,49.8,11.8,48.3,70.1,956.709585682037,76.9,0,-0.641,50.2,18.40000000000001,-0.102,0.128,0.605,-0.354,1,0,1,region-broadcast,moderate (literature-ecological),0
4,Asutifi South,AHAFO,District,6.84924284999999,-2.46125343688365,67334,23.2,42.4,29.26,70.74,21.67,49.12,68.79,0,ASUTIFI SOUTH,0,81.6,11.6,8.6,49.8,11.8,48.3,70.1,609.745147202957,110.4,0,-0.415,50.2,18.40000000000001,-0.087,0.058,0.605,-0.292,1,0,1,region-broadcast,moderate (literature-ecological),0
5,Tano North Municipal,AHAFO,Municipal,7.19329065,-2.2080833699397,93838,21.6,42.3,23.45,76.55,14.1,48.5,65.99,1,TANO NORTH MUNICIPAL,0,81.6,11.6,8.6,49.8,11.8,48.3,70.1,856.321297066635,109.6,0,-0.42,50.2,18.40000000000001,-0.223,0.025,0.605,-0.653,1,0,1,region-broadcast,moderate (literature-ecological),0
6,Tano South Municipal,AHAFO,Municipal,7.16093674999999,-1.99681708617696,86989,23.7,42.6,27.91,72.09,20.45,47.42,69.9,1,TANO SOUTH MUNICIPAL,0,81.6,11.6,8.6,49.8,11.8,48.3,70.1,500.131375722946,173.9,0,-0.131,50.2,18.40000000000001,-0.098,0.069,0.605,-0.336,1,0,1,region-broadcast,moderate (literature-ecological),0
7,Adansi Asokwa,ASHANTI,District,6.2467263,-1.50841,71844,32.4,43.3,28.26,71.74,50.15,48.11,71.06,0,ADANSI ASOKWA,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,607.016648618858,118.4,0,-0.371,18.599999999999994,3.299999999999997,-0.102,-0.564,0.605,0.443,0,0,0,region-broadcast,moderate (literature-ecological),0
8,Adansi North,ASHANTI,District,6.3006124,-1.5897139446089,54155,19.7,42.8,18.16,81.84,27.63,51.52,61.73,0,ADANSI NORTH,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,262.778551155136,206.1,0,-0.025,18.599999999999994,3.299999999999997,-0.625,-0.826,0.605,-0.688,0,0,0,region-broadcast,moderate (literature-ecological),0
9,Adansi South,ASHANTI,District,6.00427495,-1.39314032189093,85200,35.0,43.2,27.07,72.93,46.09,45.03,70.41,0,ADANSI SOUTH,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,773.852276984451,110.1,0,-0.417,18.599999999999994,3.299999999999997,-0.124,-0.511,0.605,0.438,0,0,0,region-broadcast,moderate (literature-ecological),0
10,Afigya Kwabre North,ASHANTI,District,7.03891495,-1.62667127242319,73330,25.2,43.7,23.98,76.02,30.12,51.79,77.32,0,AFIGYA KWABRE NORTH,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,190.539612357735,384.9,0,0.366,18.599999999999994,3.299999999999997,-0.506,-0.713,0.605,-0.262,0,0,0,region-broadcast,moderate (literature-ecological),0
11,Afigya Kwabre South,ASHANTI,District,6.83998064999999,-1.60957900170106,234667,13.0,43.3,13.42,86.58,24.97,49.3,66.24,0,AFIGYA KWABRE SOUTH,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,227.75188473350505,1030.4,0,0.982,18.599999999999994,3.299999999999997,-0.764,-0.964,0.605,-1.126,0,0,0,region-broadcast,moderate (literature-ecological),0
12,Ahafo Ano North Municipal,ASHANTI,Municipal,6.90966445,-2.23301229669742,92742,26.5,41.2,24.92,75.08,30.64,43.12,69.12,1,AHAFO ANO NORTH,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,606.3408447676851,153.0,0,-0.211,18.599999999999994,3.299999999999997,-0.479,-0.686,0.605,-0.176,0,0,0,region-broadcast,moderate (literature-ecological),0
13,Ahafo Ano South East,ASHANTI,District,6.94633355,-1.90095355028736,63468,31.8,42.5,32.24,67.76,32.34,46.29,79.4,0,AHAFO ANO SOUTH EAST,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,700.981582156464,90.5,0,-0.539,18.599999999999994,3.299999999999997,-0.375,-0.577,0.605,0.28,0,0,0,region-broadcast,moderate (literature-ecological),0
14,Ahafo Ano South West,ASHANTI,District,6.8289788,-2.00038660056909,65770,31.9,41.8,31.43,68.57,37.52,44.39,72.43,0,AHAFO ANO SOUTH WEST,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,515.344867564865,127.6,0,-0.325,18.599999999999994,3.299999999999997,-0.297,-0.575,0.605,0.336,0,0,0,region-broadcast,moderate (literature-ecological),0
15,Akrofuom,ASHANTI,District,6.03262245,-1.67136425707588,49291,37.0,44.2,30.03,69.97,42.84,49.31,65.86,0,ADANSI AKROFUOM,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,578.5260428427121,85.2,0,-0.577,18.599999999999994,3.299999999999997,-0.142,-0.47,0.605,0.557,0,0,0,region-broadcast,moderate (literature-ecological),0
16,Amansie Central,ASHANTI,District,6.20744165,-1.82814118592735,93052,28.6,43.3,29.44,70.56,33.99,44.63,65.97,0,AMANSIE CENTRAL,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,865.6027105695799,107.5,0,-0.432,18.599999999999994,3.299999999999997,-0.398,-0.643,0.605,0.098,0,0,0,region-broadcast,moderate (literature-ecological),0
17,Amansie South,ASHANTI,District,6.30802585,-2.01186652006877,113155,30.3,44.4,30.17,69.83,48.14,45.61,57.16,0,AMANSIE SOUTH,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,604.330453950348,187.2,0,-0.085,18.599999999999994,3.299999999999997,-0.163,-0.607,0.605,0.398,0,0,0,region-broadcast,moderate (literature-ecological),0
18,Amansie West,ASHANTI,District,6.43975084999999,-1.85237045719587,112627,31.0,44.7,27.0,73.0,43.02,52.21,67.64,0,AMANSIE WEST,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,650.5308209830249,173.1,0,-0.134,18.599999999999994,3.299999999999997,-0.229,-0.593,0.605,0.243,0,0,0,region-broadcast,moderate (literature-ecological),1
19,Asante Akim Central Municipal,ASHANTI,Municipal,6.56465915,-1.25347851347396,91673,16.9,42.6,17.22,82.78,19.68,51.13,63.0,1,ASANTE AKIM CENTRAL MUNICIPAL,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,306.386152195534,299.2,0,0.209,18.599999999999994,3.299999999999997,-0.784,-0.884,0.605,-0.941,0,0,0,region-broadcast,moderate (literature-ecological),0
20,Asante Akim North Municipal,ASHANTI,Municipal,6.906722,-0.958978,85202,26.0,42.1,23.85,76.15,34.0,47.13,63.22,1,ASANTE AKIM NORTH,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,1149.95929985303,74.1,0,-0.665,18.599999999999994,3.299999999999997,-0.437,-0.696,0.605,-0.178,0,0,0,region-broadcast,moderate (literature-ecological),1
21,Asante Akim South Municipal,ASHANTI,Municipal,6.46141735,-1.11533920112058,123633,24.6,42.2,25.62,74.38,32.61,43.84,75.84,1,ASANTE AKIM SOUTH,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,1176.39818386638,105.1,0,-0.446,18.599999999999994,3.299999999999997,-0.478,-0.725,0.605,-0.193,0,0,0,region-broadcast,moderate (literature-ecological),0
22,Asokore Mampong Municipal,ASHANTI,Municipal,6.7077852,-1.5665013,191402,11.3,42.7,19.35,80.65,20.28,48.52,58.22,1,ASOKORE MAMPONG MUNICIPAL,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,24.414757406059294,7839.6,0,2.251,18.599999999999994,3.299999999999997,-0.858,-0.999,0.605,-1.067,0,0,0,region-broadcast,moderate (literature-ecological),0
23,Asokwa Municipal,ASHANTI,Municipal,6.6739843,-1.6026178,125642,6.3,41.4,10.73,89.27,14.25,44.07,54.38,1,ASOKWA  MUNICIPAL,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,27.2516317101517,4610.4,0,1.919,18.599999999999994,3.299999999999997,-1.022,-1.102,0.605,-1.62,0,0,0,region-broadcast,moderate (literature-ecological),0
