indicator,latest_year,value_numeric,value_display,n_years,first_year
Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis,2024,5199035.0,5199035,12.0,2013.0
Number of confirmed cases of Buruli ulcer reported,2024,37.0,37,6.0,2019.0
Number of confirmed yaws cases reported,2024,313.0,313,8.0,2017.0
Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2024,0.0,0,35.0,1990.0
Number of people operated for trachomatous trichiasis,2024,6.0,6,11.0,2014.0
Number of people who received treatment with antibiotics for trachoma,2024,0.0,0,20.0,2005.0
Number of pigs in the country,2020,759211.0,759211,2.0,2016.0
Number of suspected cases of Buruli ulcer reported,2024,367.0,367,23.0,2002.0
"Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem",2024,0.0,0,12.0,2013.0
Practice of backyard pig production,2022,,Present,2.0,2016.0
Reported number of individuals treated for onchocerciasis,2024,4328134.0,4328134,20.0,2005.0
Status of elimination of trachoma as a public health problem,2025,,Validated as having eliminated,1.0,2025.0
Status of endemicity of Buruli ulcer,2024,,Currently endemic,1.0,2024.0
Status of endemicity of Taenia solium,2022,,Endemic,1.0,2022.0
Status of endemicity of onchocerciasis,2025,,Endemic,1.0,2025.0
Status of yaws endemicity,2024,,Currently endemic,1.0,2024.0
"Medical doctors (per 10,000)",2023,2.66,2.66,,
"Nursing and midwifery personnel (per 10,000)",2023,41.1,41.1,,
