ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),5039881,Women with secondary or higher education,53.2,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,EDLITRWSCH,GHDHS2003408001,2003,DHS,553,524,,,1
GHA,Central,6013982,Women with secondary or higher education,46.7,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408002,1408020,Region,Central,0,,0,1,EDLITRWSCH,GHDHS2003408002,2003,DHS,431,352,,,1
GHA,Greater Accra,7417624,Women with secondary or higher education,71.2,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408003,1408030,Region,Greater Accra,0,,0,1,EDLITRWSCH,GHDHS2003408003,2003,DHS,942,835,,,1
GHA,Volta (pre 2022),840106,Women with secondary or higher education,52,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,EDLITRWSCH,GHDHS2003408004,2003,DHS,492,442,,,1
GHA,Eastern,6942119,Women with secondary or higher education,60.6,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408005,1408050,Region,Eastern,0,,0,1,EDLITRWSCH,GHDHS2003408005,2003,DHS,601,506,,,1
GHA,Ashanti,1175874,Women with secondary or higher education,64.2,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408006,1408060,Region,Ashanti,0,,0,1,EDLITRWSCH,GHDHS2003408006,2003,DHS,1142,927,,,1
GHA,Brong-Ahafo,272278,Women with secondary or higher education,49.7,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,EDLITRWSCH,GHDHS2003408007,2003,DHS,569,638,,,1
GHA,"Northern, Upper West, Upper East",5544949,Women with secondary or higher education,15.1,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,EDLITRWSCH,GHDHS2003408008,2003,DHS,961,1467,,,
GHA,Northern (pre 2022),6505075,Women with secondary or higher education,12.7,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,EDLITRWSCH,GHDHS2003408009,2003,DHS,499,610,,,1
GHA,Upper West,53983,Women with secondary or higher education,21.5,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408010,1408100,Region,..Upper West,0,,0,1,EDLITRWSCH,GHDHS2003408010,2003,DHS,153,462,,,1
GHA,Upper East,1700329,Women with secondary or higher education,15.8,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408011,1408110,Region,..Upper East,0,,0,1,EDLITRWSCH,GHDHS2003408011,2003,DHS,310,395,,,1
GHA,Western (pre 2022),5039882,Women who can read a whole sentence,1.1,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408001,1408010,Region,Western (pre 2022),0,,0,1,EDLITRWRDW,GHDHS2003408001,2003,DHS,553,524,,,1
GHA,Central,6013983,Women who can read a whole sentence,2,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408002,1408020,Region,Central,0,,0,1,EDLITRWRDW,GHDHS2003408002,2003,DHS,431,352,,,1
GHA,Greater Accra,7417625,Women who can read a whole sentence,2.2,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408003,1408030,Region,Greater Accra,0,,0,1,EDLITRWRDW,GHDHS2003408003,2003,DHS,942,835,,,1
GHA,Volta (pre 2022),840107,Women who can read a whole sentence,2.6,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,EDLITRWRDW,GHDHS2003408004,2003,DHS,492,442,,,1
GHA,Eastern,6942120,Women who can read a whole sentence,2,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408005,1408050,Region,Eastern,0,,0,1,EDLITRWRDW,GHDHS2003408005,2003,DHS,601,506,,,1
GHA,Ashanti,1175875,Women who can read a whole sentence,1.5,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408006,1408060,Region,Ashanti,0,,0,1,EDLITRWRDW,GHDHS2003408006,2003,DHS,1142,927,,,1
GHA,Brong-Ahafo,272279,Women who can read a whole sentence,2,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,EDLITRWRDW,GHDHS2003408007,2003,DHS,569,638,,,1
GHA,"Northern, Upper West, Upper East",5544950,Women who can read a whole sentence,0.8,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,EDLITRWRDW,GHDHS2003408008,2003,DHS,961,1467,,,
GHA,Northern (pre 2022),6518742,Women who can read a whole sentence,0.6,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,EDLITRWRDW,GHDHS2003408009,2003,DHS,499,610,,,1
GHA,Upper West,53984,Women who can read a whole sentence,1.7,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408010,1408100,Region,..Upper West,0,,0,1,EDLITRWRDW,GHDHS2003408010,2003,DHS,153,462,,,1
GHA,Upper East,1700330,Women who can read a whole sentence,0.7,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408011,1408110,Region,..Upper East,0,,0,1,EDLITRWRDW,GHDHS2003408011,2003,DHS,310,395,,,1
GHA,Western (pre 2022),5039883,Women who can read part of a sentence,2.3,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDP,231233030,I,408001,1408010,Region,Western (pre 2022),0,,0,1,EDLITRWRDP,GHDHS2003408001,2003,DHS,553,524,,,1
