GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
NTD_BU_SUSP,Number of suspected cases of Buruli ulcer reported,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-buruli-ulcer,2020,2020,2020,AFR,Africa,GHA,Ghana,,,,127.0,127,,
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-individuals-treated-for-onchocerciasis,2016,2016,2016,AFR,Africa,GHA,Ghana,,,,4331666.0,4331666,,
NTD_YAWSNUM_CONF,Number of confirmed yaws cases reported,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-confirmed-cases-of-yaws-reported,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,758.0,758,,
NTD_BU_SUSP,Number of suspected cases of Buruli ulcer reported,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-buruli-ulcer,2006,2006,2006,AFR,Africa,GHA,Ghana,,,,1096.0,1096,,
NTD_TRA5,Number of people operated for trachomatous trichiasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-people-operated-for-trachomatous-trichiasis,2019,2019,2019,AFR,Africa,GHA,Ghana,,,,34.0,34,,
NTD_7,"Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-in-areas-that-warrant-treatment-with-antibiotics-facial-cleanliness-and-environmental-improvement-for-elimination-of-trachoma-as-a-public-health-problem,2021,2021,2021,AFR,Africa,GHA,Ghana,,,,0.0,0,,
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-individuals-treated-for-onchocerciasis,2013,2013,2013,AFR,Africa,GHA,Ghana,,,,3495861.0,3495861,,
NTD_ONCHSTATUS,Status of endemicity of onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/status-of-endemicity-of-onchocerciasis,2025,2025,2025,AFR,Africa,GHA,Ghana,,,,,Endemic,,
NTD_8,Number of people who received treatment with antibiotics for trachoma,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-people-who-received-treatment-with-antibiotics-for-trachoma,2007,2007,2007,AFR,Africa,GHA,Ghana,,,,899580.0,899580,,
NTD_TSOL4,Practice of backyard pig production,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/taenia-solium-practice-of-backyard-pig-production,2016,2016,2016,AFR,Africa,GHA,Ghana,,,,,Present,,
NTD_YAWSNUM_CONF,Number of confirmed yaws cases reported,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-confirmed-cases-of-yaws-reported,2020,2020,2020,AFR,Africa,GHA,Ghana,,,,146.0,146,,
NTD_8,Number of people who received treatment with antibiotics for trachoma,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-people-who-received-treatment-with-antibiotics-for-trachoma,2015,2015,2015,AFR,Africa,GHA,Ghana,,,,0.0,0,,
NTD_TRA5,Number of people operated for trachomatous trichiasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-people-operated-for-trachomatous-trichiasis,2024,2024,2024,AFR,Africa,GHA,Ghana,,,,6.0,6,,
NTD_YAWSNUM_CONF,Number of confirmed yaws cases reported,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-confirmed-cases-of-yaws-reported,2019,2019,2019,AFR,Africa,GHA,Ghana,,,,,No data,,
NTD_BU_CONF,Number of confirmed cases of Buruli ulcer reported,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-confirmed-cases-of-buruli-ulcer-reported,2024,2024,2024,AFR,Africa,GHA,Ghana,,,,37.0,37,,
NTD_7,"Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-in-areas-that-warrant-treatment-with-antibiotics-facial-cleanliness-and-environmental-improvement-for-elimination-of-trachoma-as-a-public-health-problem,2024,2024,2024,AFR,Africa,GHA,Ghana,,,,0.0,0,,
NTD_8,Number of people who received treatment with antibiotics for trachoma,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-people-who-received-treatment-with-antibiotics-for-trachoma,2013,2013,2013,AFR,Africa,GHA,Ghana,,,,,No data,,
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hat-tb-gambiense,2009,2009,2009,AFR,Africa,GHA,Ghana,,,,0.0,0,,
NTD_BU_SUSP,Number of suspected cases of Buruli ulcer reported,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-buruli-ulcer,2004,2004,2004,AFR,Africa,GHA,Ghana,,,,1157.0,1157,,
NTD_ONCHEMO,Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-individuals-in-the-country-requiring-preventive-chemotherapy-for-onchocerciasis,2018,2018,2018,AFR,Africa,GHA,Ghana,,,,9617037.0,9617037,,
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hat-tb-gambiense,2023,2023,2023,AFR,Africa,GHA,Ghana,,,,0.0,0,,
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-individuals-treated-for-onchocerciasis,2011,2011,2011,AFR,Africa,GHA,Ghana,,,,1776626.0,1776626,,
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hat-tb-gambiense,1991,1991,1991,AFR,Africa,GHA,Ghana,,,,6.0,6,,
NTD_BU_SUSP,Number of suspected cases of Buruli ulcer reported,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-buruli-ulcer,2021,2021,2021,AFR,Africa,GHA,Ghana,,,,52.0,52,,
NTD_BU_SUSP,Number of suspected cases of Buruli ulcer reported,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-buruli-ulcer,2007,2007,2007,AFR,Africa,GHA,Ghana,,,,668.0,668,,
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-individuals-treated-for-onchocerciasis,2017,2017,2017,AFR,Africa,GHA,Ghana,,,,4403121.0,4403121,,
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-individuals-treated-for-onchocerciasis,2023,2023,2023,AFR,Africa,GHA,Ghana,,,,3784575.0,3784575,,
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hat-tb-gambiense,2016,2016,2016,AFR,Africa,GHA,Ghana,,,,0.0,0,,
NTD_7,"Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-in-areas-that-warrant-treatment-with-antibiotics-facial-cleanliness-and-environmental-improvement-for-elimination-of-trachoma-as-a-public-health-problem,2016,2016,2016,AFR,Africa,GHA,Ghana,,,,0.0,0,,
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-individuals-treated-for-onchocerciasis,2019,2019,2019,AFR,Africa,GHA,Ghana,,,,6526501.0,6526501,,
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hat-tb-gambiense,2021,2021,2021,AFR,Africa,GHA,Ghana,,,,0.0,0,,
NTD_8,Number of people who received treatment with antibiotics for trachoma,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-people-who-received-treatment-with-antibiotics-for-trachoma,2014,2014,2014,AFR,Africa,GHA,Ghana,,,,992.0,992,,
NTD_TSOL1,Status of endemicity of Taenia solium,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/status-of-endemicity-of-taenia-solium,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,,Endemic,,
