gj,nwpri_pca,genuine_dep_pca,poverty_incidence,open_defecation_pct_rgnbc,san_deficit,water_deficit,uninsured_rate,literacy_rate,ntd_pov_belt,buruli_focus,oncho_highrisk,total_pop,n_mmda,DISTRICT,lisa,lisa_p_fdr
ABLEKUMA CENTRAL MUNICIPAL,-1.269,-1.13,9.4,4.9,8.799999999999997,1.5,36.53,88.08,0,0,0,169145,1,ABLEKUMA CENTRAL MUNICIPAL,Low-Low,0.0186
ABLEKUMA NORTH MUNICIPAL,-1.292,-1.323,8.3,4.9,8.799999999999997,1.5,36.66,92.85,0,0,0,159208,1,ABLEKUMA NORTH MUNICIPAL,Low-Low,0.0079
ABLEKUMA WEST MUNICIPAL,-1.28,-1.227,8.9,4.9,8.799999999999997,1.5,39.41,91.85,0,0,0,153490,1,ABLEKUMA WEST MUNICIPAL,Low-Low,0.026
ABUAKWA NORTH,-0.632,-1.064,15.7,5.7,26.5,12.700000000000005,20.35,85.53,0,0,0,76195,1,ABUAKWA NORTH,Not significant,0.0916
ABUAKWA SOUTH,-0.52,-0.682,21.1,5.7,26.5,12.700000000000005,21.98,80.56,0,0,0,89051,1,ABUAKWA SOUTH,Not significant,0.0706
ABURA-ASEBU-KWAMANKESE,-0.304,0.018,28.0,12.7,30.200000000000003,9.799999999999995,35.54,73.08,0,0,0,124465,1,ABURA-ASEBU-KWAMANKESE,Not significant,0.4488
ACCRA METROPOLIS,-1.234,-0.892,11.1,4.9,8.799999999999997,1.5,38.04,83.34,0,0,0,276997,1,ACCRA METROPOLIS,Low-Low,0.0186
ACHIASE,-0.339,-0.01,29.9,5.7,26.5,12.700000000000003,31.759999999999998,74.3,0,0,0,56348,1,ACHIASE,Not significant,0.4337
ADA EAST,-0.883,0.214,28.199999999999996,4.9,8.799999999999997,1.5,42.91,70.71,0,0,0,76411,1,ADA EAST,Not significant,0.3001
ADA WEST,-0.637,1.02,40.1,4.9,8.799999999999997,1.5,59.26,66.87,0,0,0,76087,1,ADA WEST,Not significant,0.4863
ADAKLU,0.035,0.133,33.2,21.7,32.8,13.599999999999994,27.03,71.38,1,0,1,38649,1,ADAKLU,Not significant,0.4116
ADANSI AKROFUOM,-0.47000000000000003,0.557,37.0,9.3,18.599999999999994,3.2999999999999976,42.839999999999996,69.97,0,0,0,49291,1,ADANSI AKROFUOM,Not significant,0.4235
ADANSI ASOKWA,-0.564,0.443,32.4,9.3,18.599999999999994,3.299999999999997,50.15,71.74,0,0,0,71844,1,ADANSI ASOKWA,Not significant,0.4776
ADANSI NORTH,-0.826,-0.688,19.7,9.3,18.599999999999994,3.299999999999997,27.63,81.84,0,0,0,54155,1,ADANSI NORTH,Not significant,0.311
ADANSI SOUTH,-0.511,0.438,35.0,9.3,18.599999999999994,3.299999999999997,46.09,72.93,0,0,0,85200,1,ADANSI SOUTH,Not significant,0.3123
ADENTA MUNICIPAL,-1.292,-1.312,8.3,4.9,8.799999999999997,1.5,37.46,92.87,0,0,0,265971,1,ADENTA MUNICIPAL,Low-Low,0.0159
AFADZATO SOUTH,0.021,-0.166,32.5,21.7,32.8,13.599999999999994,28.940000000000005,80.72,1,0,1,73146,1,AFADZATO SOUTH,Not significant,0.26
AFIGYA KWABRE NORTH,-0.713,-0.262,25.2,9.3,18.599999999999994,3.299999999999997,30.12,76.02,0,0,0,73330,1,AFIGYA KWABRE NORTH,Not significant,0.311
AFIGYA KWABRE SOUTH,-0.964,-1.126,13.0,9.3,18.599999999999994,3.2999999999999967,24.969999999999995,86.58,0,0,0,234667,1,AFIGYA KWABRE SOUTH,Low-Low,0.0224
AGONA EAST,-0.3459999999999999,0.085,25.9,12.7,30.200000000000003,9.799999999999995,53.92,77.25,0,0,0,98637,1,AGONA EAST,Not significant,0.3976
AGONA WEST MUNICIPAL,-0.448,-0.464,21.0,12.7,30.200000000000003,9.799999999999995,36.45,80.51,0,0,0,136569,1,AGONA WEST MUNICIPAL,Not significant,0.4908
AGOTIME ZIOPE,-0.119,-0.10700000000000001,25.7,21.7,32.8,13.599999999999996,25.67,69.73,1,0,1,39553,1,AGOTIME ZIOPE,Not significant,0.483
AHAFO ANO NORTH,-0.686,-0.176,26.5,9.3,18.599999999999994,3.299999999999997,30.64,75.08,0,0,0,92742,1,AHAFO ANO NORTH,Not significant,0.4271
